SourceFile,FileName,GPSLatitude,GPSLongitude,CreateDate
/Users/davidjanmercado/Documents/Processing/Sketches/Projects/TravelVisVersion1/data/photos/IMG_3266.jpg,IMG_3266.jpg,"49 deg 6' 33.02""","2 deg 11' 29.55""",2015:11:22 15:33:58
/Users/davidjanmercado/Documents/Processing/Sketches/Projects/TravelVisVersion1/data/photos/IMG_3275.jpg,IMG_3275.jpg,"51 deg 31' 31.64""","0 deg 8' 11.06""",2015:08:10 11:03:31
/Users/davidjanmercado/Documents/Processing/Sketches/Projects/TravelVisVersion1/data/photos/IMG_3320.jpg,IMG_3320.jpg,"51 deg 31' 28.03""","0 deg 8' 2.73""",2015:08:10 13:55:59
/Users/davidjanmercado/Documents/Processing/Sketches/Projects/TravelVisVersion1/data/photos/IMG_3642.jpg,IMG_3642.jpg,"51 deg 31' 0.37""","0 deg 8' 5.04""",2015:08:24 16:26:19
/Users/davidjanmercado/Documents/Processing/Sketches/Projects/TravelVisVersion1/data/photos/IMG_3763.jpg,IMG_3763.jpg,"51 deg 32' 17.82""","0 deg 9' 32.72""",2015:08:29 14:59:38
/Users/davidjanmercado/Documents/Processing/Sketches/Projects/TravelVisVersion1/data/photos/IMG_3833.jpg,IMG_3833.jpg,"52 deg 12' 10.40""","0 deg 7' 5.82""",2015:08:30 13:31:41
/Users/davidjanmercado/Documents/Processing/Sketches/Projects/TravelVisVersion1/data/photos/IMG_9281.jpg,IMG_9281.jpg,"49 deg 5' 25.52""","2 deg 11' 59.73""",2015:11:22 16:57:53
/Users/davidjanmercado/Documents/Processing/Sketches/Projects/TravelVisVersion1/data/photos/IMG_9387.jpg,IMG_9387.jpg,"48 deg 51' 28.06""","2 deg 20' 52.23""",2015:11:28 15:53:41
/Users/davidjanmercado/Documents/Processing/Sketches/Projects/TravelVisVersion1/data/photos/IMG_9400.jpg,IMG_9400.jpg,"48 deg 51' 34.19""","2 deg 20' 41.11""",2015:11:28 16:28:57
/Users/davidjanmercado/Documents/Processing/Sketches/Projects/TravelVisVersion1/data/photos/IMG_9483.jpg,IMG_9483.jpg,"48 deg 50' 46.74""","2 deg 20' 42.01""",2015:12:05 15:44:27
